strassenna,strassenkl,strassennr,Anzahl Unfälle
Boppartweg,W1,"619","0"
Röschstrasse,G2,"385","0"
Goldbrunnenweg,W2,"153","0"
Favrestrasse,G2,"611","0"
Kalkofenweg,G3,"789","0"
Stueleggweg,W2,"591","0"
Gugghaldenstrasse,G3,"610","0"
Zschokkeweg,W1,"550","0"
Kalkofenweg,W2,"789","0"
Oberer Kirchliweg,W1,"348","0"
Paul-Brandt-Weg,G3,"361","0"
Paul-Brandt-Strasse,G2,"360","0"
Grünbergtreppe,W1,"763","0"
Laubengang,W1,"802","0"
Moosgartenweg,W2,"971","0"
Gübsenstrasse,W2,"171","0"
Brauersteig,W2,"718","0"
Oberstockenweg,W1,"825","0"
Hinterbergstrasse,G2,"206","0"
Waldackerweg,G3,"894","0"
Vadianstrasse,G2,"509","0"
Ilgenstrasse,G2,"227","0"
Grenzstrasse,G2,"161","0"
Hafnerwaldstrasse,G2,"625","0"
Lavaterstrasse,G2,"803","0"
Pestalozzistrasse,G2,"363","0"
Hörnlistrasse,G2,"783","0"
Gutenbergstrasse,G2,"917","0"
Speerstrasse,G2,"871","0"
Berghaldenplatz,G1,"35","0"
Tanneichenstrasse,G2,"603","0"
Gellertstrasse,G1,"137","0"
Bitzistrasse,G2,"46","0"
Schwalbenstrasse,G2,"434","0"
Konkordiastrasse,G2,"258","0"
Kolosseumstrasse,G2,"257","1"
Heiligkreuzstrasse,G1,"197","0"
Hodlerstrasse,G1,"214","0"
Spinnereiweg,W1,"875","1"
Rosengartenstrasse,G2,"390","0"
Guggeienhof,G2,"631","0"
Zilweg,G2,"546","0"
Spiltrückliweg,W3,"990","0"
Schachenstrasse,G2,"571","0"
Brückengasse,G2,"60","0"
Spitalstrasse,G2,"992","0"
Schellenweg,W1,"929","0"
Spelteriniplatz,G2,"10325","0"
Girtannerweg,W1,"147","0"
Vonwilstrasse,G1,"513","0"
Hofstrasse,G2,"781","0"
Fluhstrasse,G2,"746","0"
Gaiserwaldweg,W1,"652","0"
Marktplatz,G1,"301","6"
Ruckhaldenweg,W1,"394","0"
Seeblickstrasse,G2,"437","0"
Moosstrasse,G2,"321","0"
Scheitlinsbüchelweg,G3,"408","0"
Gerhardtweg,W2,"1038","0"
Eisengasse,G3,"93","0"
Knottergässlein,W1,"795","0"
Zwyssigstrasse,G2,"553","0"
St.Georgen-Strasse,G2,"461","0"
Multergasse,G2,"327","0"
Achslenweg,G2,"2","0"
Schachenbachweg,W3,"985","0"
Felsenstrasse,G2,"113","0"
Gotthardweg,W3,"156","0"
Davidstrasse,G1,"82","2"
Geltenwilenstrasse,G2,"138","0"
Gauklerweg,W2,"1042","0"
Stockenweg,W2,"1017","0"
Remishuebstrasse,G3,"378","0"
Bleicheliweg,G3,"1045","0"
Lachenweg,W1,"1043","0"
Letzistrasse,G2,"286","0"
Aeplistrasse,G2,"5","0"
Ruhsitzstrasse,G2,"397","0"
Lochweg,W2,"969","0"
Spichermannstrasse,W2,"934","0"
Parkstrasse,G2,"359","0"
Erlachstrasse,G1,"98","1"
Gründenmoosweg,W1,"1034","0"
Rütiweiherweg,W2,"844","0"
Rötelistrasse,G2,"644","0"
Peter-und-Paul-Strasse,G1,"364","0"
Wattweg,G3,"649","0"
Blériotweg,W2,"666","0"
Meienbergstrasse,G2,"1030","0"
Panoramaweg,W2,"664","0"
Höhenweg,G2,"217","0"
Scheitlinsbüchelweg,W2,"408","0"
Bruggerweg,G3,"909","0"
Nasenweg,W2,"814","0"
Moosmühlestrasse,G3,"320","0"
Spichermannweg,W2,"989","0"
Hechtackerstrasse,G1,"195","0"
Obstgartenweg,W2,"1055","0"
Waldstrasse,G2,"896","0"
Wattstrasse,G3,"527","0"
Birnbäumenweg,W1,"1033","0"
Alpsteinstrasse,G2,"10","0"
Hardungstrasse,G2,"188","0"
Rathaus-Unterführung,W1,"979","0"
Dreilindenweg,W1,"736","0"
Grünaustrasse,G2,"164","1"
Baumgartenstrasse,G2,"31","0"
Hätterenweg,W2,"176","0"
Herisauer Strasse,G1,"203","1"
Werkstrasse,G2,"575","0"
Breitfeldstrasse,G2,"637","1"
Herisauer Strasse,G2,"203","0"
Schochengasse,G1,"418","0"
Schoretshuebstrasse,G3,"425","0"
Lessingstrasse,G2,"284","0"
Kapellenstrasse,G2,"243","0"
Oberstockenweg,W1,"825","0"
Herbrigweg,W2,"689","0"
Fellenbergstrasse,G2,"112","0"
Schreinerstrasse,G2,"427","0"
Kachelweg,W2,"240","0"
Rütistrasse,G2,"395","0"
Buchsteig,W2,"71","0"
Oberer Graben,G2,"347","0"
Auwaldweg,W2,"953","0"
Rechenstrasse,G3,"372","0"
Brauerstrasse,G3,"59","0"
Furglerstrasse,G2,"1039","0"
Dufourstrasse,G1,"91","0"
Lagerstrasse,G2,"271","0"
Oberer Graben,G1,"347","5"
Peter-und-Paul-Weg,W2,"978","0"
Gallusplatz,G2,"10093","0"
Hagenwiler Strasse,G3,"768","0"
Moosweg,W2,"322","0"
Zeppelinstrasse,G2,"1004","0"
Sonderstrasse,G2,"445","0"
Schellenweg,W1,"929","0"
Rosenbergstrasse,G2,KS2b,"0"
Langgasse,G3,"274","0"
Rosenbergweg,W1,"655","1"
Rosenheimstrasse,G2,"391","0"
Bogenweg,W1,"1074","0"
Güterbahnhofstrasse,G2,"916","0"
Obere Berneggstrasse,W1,"341","0"
Herisauer Strasse,G2,"203","0"
Gsellstrasse,G2,"169","0"
Gübsenseeweg,W1,"170","0"
Gübsenweg,W1,"915","0"
Landhausstrasse,G2,"272","0"
Laderenweg,W2,"800","0"
Taeuberweg,W2,"1031","0"
Goldbrunnenweg,G3,"153","0"
Höchster Waldweg,W2,"780","0"
Lerchentalweg,G3,"283","0"
Huebweg,W2,"922","0"
Altmannstrasse,G2,"12","0"
Straussenhausweg,G3,"882","0"
Hirtenweg,W2,"212","0"
Quimbystrasse,G3,"1028","0"
Vogelherdstrasse,W2,"1008","0"
Bruggwaldstrasse,G1,"65","3"
Lerchenfeldweg,G3,"281","0"
Walserstrasse,G2,"522","0"
Grüningerweg,W1,"1001","0"
Walenbüchelstrasse,G2,"520","0"
Hintere Erlachstrasse,G3,"690","0"
Nussbaumwaldstrasse,W2,"819","0"
Brandtobelstrasse,G3,"910","0"
Alleestrasse,W2,"667","0"
Hagenbuchwaldweg,G3,"959","0"
Neuwaldstrasse,G3,"817","0"
Schaugentobelweg,G3,"852","0"
Bernhardswiesstrasse,G2,"39","0"
Rehetobelstrasse,G1,"376","6"
Gatterstrasse,G2,"135","0"
Kesswilweg,G3,"697","0"
Wildeggtreppe,W1,"903","0"
Burggraben,KS1,KS5a,"0"
Tablatstrasse,KS1,KS99a,"0"
A1,NS,A1,"0"
Rorschacher Strasse,KS1,KS1b,"22"
Hafnersbergstrasse,NS,BS101,"0"
Appenzeller Strasse,KS1,KS90,"1"
Bildstrasse,NS,BS100,"0"
Geissbergstrasse,NS,BS44,"0"
Dufourstrasse,NS,BS91,"0"
Sonnenstrasse,KS1,KS57,"0"
Splügenstrasse,NS,BS58,"0"
Langgasse,KS1,KS3c,"11"
St.Josefen-Strasse,KS1,KS56b,"0"
Schönbüelstrasse,KS1,KS6a,"0"
St.Leonhard-Strasse,NS,BS4a,"0"
Bergstrasse,W1,"37","0"
Obere Wassergasse,W1,"926","0"
Isenringweg,W1,"234","0"
Huebweg,W2,"922","0"
Solitüdenstrasse,G1,"443","0"
Apfelbergweg,W1,"18","0"
Antoniusstrasse,G2,"17","0"
Schubertstrasse,G2,"428","0"
Engelwiesstrasse,G2,"638","0"
Schmittengässlein,W1,"861","0"
Lindeliweg,W2,"598","0"
Schäflisbergstrasse,G3,"403","0"
Reherweg,W2,"617","0"
Schäflerstrasse,G2,"402","0"
Obere Reherstrasse,G2,"614","0"
Pfauengässlein,G3,"365","0"
Oberer Kirchliweg,W1,"348","0"
Inneres Hofgässlein,G2,"788","0"
Hörnlistrasse,G2,"783","0"
Obere Büschenstrasse,G2,"342","1"
Fichtestrasse,G2,"114","0"
Unterschachenweg,G3,"996","0"
Unterschachenweg,W2,"996","0"
Höchster Waldweg,W3,"780","0"
Müller-Friedberg-Strasse,G1,"326","1"
Feldbachstrasse,G2,"110","0"
Lindenstrasse,G2,"289","0"
Merkurstrasse,G2,"309","0"
Melonenstrasse,G2,"308","0"
Schönaustrasse,G2,"420","0"
Schoretshuebweg,G2,"426","0"
Ramsenstrasse,G2,"369","0"
Rittmeyerstrasse,G2,"384","0"
Rosenfeldweg,G2,"389","0"
Schibistrasse,G2,"410","0"
Malvenweg,G3,"299","0"
Gerbeweg,W1,"141","0"
Erikastrasse,G2,"97","0"
Ilgenstrasse,G2,"227","0"
Schlosserstrasse,G2,"414","0"
Greifenstrasse,G2,"159","0"
Dahlienstrasse,G2,"81","0"
Schlatterstrasse,G2,"412","0"
Seeblickstrasse,G2,"437","0"
Herderstrasse,G2,"202","0"
Wiesenstrasse,G2,"533","0"
Myrtenstrasse,G3,"329","0"
Kronbergstrasse,G2,"265","0"
Wartensteinstrasse,G2,"523","0"
Wartensteinstrasse,G2,"523","0"
Demutstrasse,G1,"83","0"
Pelikanstrasse,G2,"362","0"
Heimatstrasse,G1,"198","0"
Kolumbanstrasse,G1,"634","1"
Lettenstrasse,G2,"285","0"
Wiesentalstrasse,G2,"534","1"
Sonderstrasse,G3,"445","0"
Sittertalsteg,W2,"964","0"
Krontalstrasse,G2,"266","0"
Bruggstrasse,G2,"64","0"
Fuchsenstrasse,G2,"130","0"
Buchwaldstrasse,G2,"73","0"
Schlosserweg,W2,"858","0"
Scheffelstrasse,G2,"405","0"
Ringelbergweg,G3,"382","0"
Gerhardtweg,G3,"1038","0"
Rosensteig,W2,"838","0"
Ahornstrasse,G3,"9","0"
Schönbüelweg,W2,"601","0"
Stephanshornweg,W2,"602","0"
Böcklinstrasse,G2,"53","0"
Falkensteinstrasse,G2,"107","0"
Burgstrasse,G2,"78","0"
Unterer Leimatweg,W1,"891","0"
Hagenbuchstrasse,G3,"180","0"
Tannenstrasse,G1,"485","0"
Jägerstrasse,G2,"235","1"
Tschudistrasse,G2,"496","0"
Leuenbergerstrasse,G2,"287","0"
Gerhardtweg,W2,"1038","0"
Zimmerstrasse,G2,"548","0"
Rosenbüchelweg,W3,"835","0"
Hintere Schützengasse,G2,"209","0"
Waisenhausstrasse,G2,"515","0"
Singenbergstrasse,G1,"440","0"
Lessingstrasse,G2,"284","0"
Achslenweg,G3,"2","0"
Berghaldenstrasse,G2,"36","0"
Eisbahnweg,W2,"557","0"
Oststrasse,G2,"354","0"
Kantonsschulparkweg,W1,"1041","0"
Edisonstrasse,G2,"1009","0"
Schützengartenweg,G2,"430","0"
Hätterenweg,W1,"176","0"
Hätterenweg,G3,"176","0"
Burgweiherweg,W2,"79","2"
Alte Bildstrasse,G2,"647","0"
Hagenbuchweg,W2,"687","0"
Martinsbruggstrasse,G1,"303","1"
Brühlweg,W1,"721","0"
Blumenaustrasse,W1,"49","0"
Haggenstrasse,G1,"183","2"
Waldmannweg,W1,"574","0"
Strebelstrasse,G3,"478","0"
Alte Konstanzer Strasse,W2,"620","0"
Schönbüelpark,G2,"1044","0"
Adlerbergstrasse,G2,"4","0"
Industriestrasse,G2,"231","0"
Auwaldweg,W2,"953","0"
Gaiserwaldweg,G3,"652","1"
Schorentreppe,W2,"930","0"
Kanzleigasse,G2,"790","0"
Tambourenstrasse,G2,"483","0"
Gellertweg,W1,"758","0"
Bildweiherstrasse,G1,"41","0"
Hagenbuchstrasse,G2,"180","0"
Folchartstrasse,G2,"123","0"
Abtwiler Weg,W2,"1063","0"
Kubelstrasse,G3,"268","0"
Gerhardtstrasse,G2,"608","0"
Obere Wildeggstrasse,G2,"346","0"
Gottfried-Keller-Strasse,G1,"155","2"
Obere Felsenstrasse,G3,"344","0"
Tivoliweg,W2,"491","0"
Unterer Brühl,W1,"504","0"
Martinsbruggstrasse,G3,"303","0"
Lochweg,G3,"969","0"
Brandstrasse,G3,"58","0"
Salisstrasse,G2,"400","1"
Hafnersbergstrasse,G2,"178","0"
Speicherstrasse,KS1,KS5c,"3"
Klosterplatz,KS1,"10405","0"
Zürcher Strasse,KS1,KS2c,"24"
Friedaustrasse,G2,"125","0"
Oberschachenstrasse,G3,"351","0"
Oberhofstettenstrasse,G2,"350","0"
Gröblistrasse,G2,"561","0"
Neststrasse,G2,"333","0"
Heidengässlein,W1,"774","0"
Neptunstrasse,G2,"332","0"
Militärstrasse,G2,"312","0"
Tempelackerstrasse,G2,"488","0"
Bürglistrasse,G2,"75","0"
Ulmenstrasse,G2,"502","0"
Melchtalstrasse,G2,"307","0"
Wiesenweg,W1,"535","0"
Oberschachenweg,W3,"977","0"
Mühlensteg,G3,"323","0"
Guggeienweg,W3,"765","0"
Haldenhof,G3,"769","0"
Oberer Fidesweg,W2,"820","0"
Steinachstrasse,KS1,KS102,"0"
Gründenstrasse,G2,"555","0"
Fichteweg,W1,"115","0"
Fichteweg,G3,"115","0"
Marktplatz-Durchgang,W1,"807","0"
Messmerweg,W1,"808","0"
Messmerweg,W1,"808","0"
Mittleres Hofgässlein,G2,"809","0"
Oberer Hompeliweg,W2,"822","0"
Scheidwegstrasse,G2,"407","0"
Röteliweg,W1,"840","0"
Pelikanweg,W2,"828","0"
Rilkestrasse,G2,"381","0"
Guggerweg,W1,"630","0"
Scheffelstrasse,G2,"405","0"
Guldinweg,G3,"651","0"
Hafnerstrasse,G2,"179","0"
Hochwachtstrasse,G3,"213","0"
Hölderlinstrasse,G2,"218","0"
Sonnenbergstrasse,G2,"448","0"
Langgasse,W2,"274","0"
Bodanstrasse,G3,"52","0"
Bänkliweg,W1,"710","0"
Kirchgasse,G2,"250","0"
Tannensteig,W1,"940","0"
Dietliweg,W2,"733","0"
Taubenstrasse,G2,"486","0"
Talstrasse,G3,"481","0"
Waaghausweg,G3,"944","0"
Dufourstrasse,G2,"91","0"
Gallusweg,W1,"757","0"
Nordstrasse,G2,"337","0"
Fähnernstrasse,G2,"103","0"
Fähnernstrasse,G2,"103","0"
Zilstrasse,G3,"545","0"
Färberstrasse,G2,"105","0"
Sonnentalweg,G3,"988","0"
Neugasse,G2,"335","1"
Flurhofstrasse,G3,"121","0"
Möslenweg,W1,"812","0"
Kesselhaldenweg,W1,"793","0"
Schönbüelweg,W2,"601","0"
Rappensteinweg,W1,"371","0"
Plattenweg,W2,"831","0"
Hüttenwiesstrasse,G2,"586","0"
Urnäschstrasse,G2,"589","0"
Scheffelsteinweg,W1,"853","0"
Lienertstrasse,G2,"627","0"
Bruggwaldpark,G2,"641","0"
Grütlistrasse,G3,"167","0"
Helvetiastrasse,G1,"201","1"
Herisauer Strasse,G2,"203","0"
Sägegässlein,G3,"399","0"
Hallwilstrasse,G3,"186","0"
Hofstettenstrasse,G2,"220","0"
Starweg,W1,"877","0"
Unterer Leimatweg,W1,"891","0"
Birnbäumenstrasse,G3,"43","0"
Alter Heinrichsbadweg,W2,"668","0"
Am Stutz,G3,"707","0"
Bankgasse,G2,"29","0"
Billenbergweg,W2,"42","0"
Geltenwilenstich,G3,"914","0"
Grünauweg,W1,"685","0"
Finkenweg,W1,"955","0"
Waisenhausstrasse,G2,"515","0"
Turnerstrasse,G2,"499","0"
Wiesenstrasse,G2,"533","0"
Finkenstrasse,G2,"745","0"
Marweesstrasse,G2,"304","0"
Moosgartenweg,W2,"971","0"
Davidshalden,W1,"729","0"
Stückelbergstrasse,G2,"479","0"
Tigerbergstrasse,G2,"490","0"
Gsellweg,W1,"686","0"
Spatzenweg,W2,"932","0"
Walltreppe,W1,"898","0"
A1,NS,A1,"0"
Bachweidweg,G3,"669","0"
Wienerbergstrasse,G2,"1015","0"
Sonnmattweg,G3,"452","0"
Freudenbergweg,W2,"913","0"
Sonnmattstrasse,G2,"451","0"
Hellerstrasse,G3,"1013","0"
Badstrasse,G2,"26","0"
Knottergässlein,W1,"795","0"
Speicherweg,W1,"873","0"
Russenstrasse,G3,"398","0"
Heusserstrasse,G2,"204","0"
Haggenstrasse,G2,"183","0"
Haggenhaldenweg,W1,"182","0"
Herbrigstrasse,G2,"643","0"
Grünhaldenstrasse,G3,"166","0"
Seidenhofstrasse,G2,"569","0"
Kronbergsteig,W1,"797","0"
Haggenhaldenstrasse,G2,"181","0"
Grossackerstrasse,G1,"162","0"
Wattstrasse,G2,"527","1"
Sturzeneggstrasse,G2,"480","0"
Sturzeneggstrasse,G3,"480","0"
Sittertalweg,W2,"867","0"
Friedhofstrasse,G2,"127","0"
Moosweiherweg,W2,"972","0"
Ahornstrasse,G1,"9","1"
Oberhofstettenstrasse,G3,"350","0"
Boppartstrasse,G2,"57","0"
Goethestrasse,G2,"151","0"
Rechenwaldstrasse,G3,"373","0"
Neuhofstrasse,G3,"961","0"
Anschwiler Weg,W2,"906","0"
Rosenbüchelstrasse,G2,"1024","0"
St.Georgen-Strasse,G3,"461","0"
Mingerstrasse,G2,"629","0"
Rosenfeldweg,G2,"389","0"
Hompelistrasse,G2,"222","0"
Taeuberweg,W2,"1031","0"
Falkenburgstrasse,G2,"106","0"
Brauersteig,W1,"718","0"
Zweibruggenmühlestrasse,G2,"1021","0"
Kreuzhofweg,W2,"264","0"
Notkerseggweg,W2,"975","0"
Hörlenweg,W2,"219","0"
Billenbergweg,W2,"42","0"
Lochstrasse,G3,"292","0"
Spiltrücklistrasse,G2,"455","0"
Buchsteig,W1,"71","0"
Solitüdenweg,W2,"444","0"
Gübsenseeweg,G3,"170","0"
Philosophentalweg,W2,"1060","0"
Birnbäumentreppe,W1,"716","0"
Frongartenstrasse,G2,"129","0"
Wilenstrasse,G3,"537","0"
Spisergasse,G2,"456","1"
Lerchentalstrasse,G2,"282","0"
Sitterstrandweg,W2,"866","0"
Freibergweg,W2,"750","0"
Kunklerstrasse,G2,"613","0"
Gaiserwaldstrasse,G2,"633","0"
Klubhausstrasse,G2,"255","0"
Galgentobelweg,G3,"1058","0"
Heinrichsbadweg,G3,"776","0"
Volksbadstrasse,G2,"512","0"
Riethüsliweg,G2,"1064","0"
Tempelackerstrasse,W1,"488","0"
Hätterenstrasse,G3,"623","0"
Gerbestrasse,G2,"140","0"
Waldauweg,W2,"895","0"
Biderstrasse,G1,"579","0"
Teufener Strasse,G1,"489","0"
Ginsterweg,W2,"1069","0"
Rosenheimstrasse,G2,"391","0"
Friedhofweg,W1,"753","0"
Wolfganghofweg,W2,"949","0"
Pappelweg,G2,"356","0"
Spühlweg,W2,"1067","0"
Piccardweg,W2,"1072","0"
Rosenbergweg,W1,"655","0"
Altwinkelnweg,W1,"706","0"
Ahornstrasse,G2,"9","0"
Ahornstrasse,G2,"9","0"
Falkensteinweg,W2,"1073","0"
Volksbadstrasse,G2,"512","0"
Böcklinstrasse,G2,"53","0"
Wolfganghofweg,W2,"949","0"
Wolfganghofweg,W2,"949","0"
Wolfganghofweg,W2,"949","0"
Oberer Fidesweg,W2,"820","0"
Altwinkelnweg,W1,"706","0"
Unterer Graben,KS1,KS2a,"3"
Martinsbruggstrasse,KS1,KS6b,"1"
St.Jakob-Strasse,KS1,KS3b,"10"
A1,NS,A1,"1"
Feldlistrasse,KS1,KS56a,"2"
Zürcher Strasse,KS1,KS2c,"0"
Rosenbergstrasse,NS,BS2b,"1"
Herisauer Strasse,NS,BS203,"0"
St.Leonhard-Strasse,NS,BS4a,"1"
Splügenstrasse,NS,BS58,"0"
Splügenstrasse,NS,BS58,"0"
Splügenstrasse,KS1,KS58,"0"
Rosenbergstrasse,KS1,KS2b,"4"
